sample,wavelength,trial1,trial2,trial3
NanoBiT,300,0.0016378100140383,0.0017962251637328,0.0096995444541127
NanoBiT,305,0.0056791593993278,0.0029844971951253,0.0170445820750371
NanoBiT,310,0.0043816735440507,0.0002210738663055,0.0012028458821722
NanoBiT,315,0.0017654315735738,0.0017409566971564,0.0025592465578133
NanoBiT,320,0.0037222954864508,0.0021831044297675,0.0004862568459845
NanoBiT,325,0.0013825668949674,0.0015751512974272,0.0006142191738752
NanoBiT,330,8.508103969030502e-05,0.0052781385580457,0.0031734657316885
NanoBiT,335,0.0008082698770578,0.0004145134993229,0.0004350719148282
NanoBiT,340,0.0004254051984515,0.0014369801309862,0.0005374417771408
NanoBiT,345,0.0031267282086187,0.0042833061596706,0.0025336540922352
NanoBiT,350,0.0018079720934189,0.0001105369331527,0.0002815171213594
NanoBiT,355,0.0028714850895477,0.0001658053997291,0.0004862568459845
NanoBiT,360,0.0004254051984515,5.526846657639484e-05,0.0007165890361877
NanoBiT,365,4.254051984515251e-05,0.0013540774311216,0.0001023698623125
NanoBiT,370,4.254051984515251e-05,0.0003868792660347,0.0008957362952346
NanoBiT,375,0.0007444590972901,0.0011882720313924,0.0010236986231253
NanoBiT,380,0.0013187561151997,0.0015751512974272,0.0004606643804064
NanoBiT,385,0.0012549453354319,0.0004697819658993,0.0037364999744075
NanoBiT,390,0.0041264304249797,0.0085942465526293,0.0093668424015969
NanoBiT,395,0.0163993704003062,0.0216376046646585,0.0206787121871321
NanoBiT,400,0.0377547113625728,0.0396551247685632,0.0414853867021548
NanoBiT,405,0.0822946356404475,0.0964987426423854,0.0996826534268311
NanoBiT,410,0.1854766665248649,0.1897090115234752,0.1794543686338741
NanoBiT,415,0.3369847279533756,0.3201978611103435,0.2883759021344116
NanoBiT,420,0.4478240524099204,0.4374499129521651,0.4769155960485233
NanoBiT,425,0.6184966180286723,0.567745322906016,0.6210523621845728
NanoBiT,430,0.7350789126643128,0.7424213115207119,0.7266980600911092
NanoBiT,435,0.8191602501382567,0.8350236272694614,0.8774120898807392
NanoBiT,440,0.913961798613179,0.8982507530328571,0.8940471925065261
NanoBiT,445,1.0,1.0,1.0
NanoBiT,450,0.9718169056025864,0.9490977422831404,0.996186722628858
NanoBiT,455,0.9238311992172544,0.9065686572526044,0.9596662742488612
NanoBiT,460,0.8358361339175565,0.7496614806422196,0.7941342068894918
NanoBiT,465,0.6774790487939762,0.6855224251803134,0.7141321594922455
NanoBiT,470,0.6221125622155103,0.6715947716030619,0.6566258893381789
NanoBiT,475,0.5825711490194411,0.5538176693287645,0.5973025541280647
NanoBiT,480,0.4832390351810099,0.5378450824881864,0.4678046783027076
NanoBiT,485,0.4224060918024418,0.4778787962527979,0.4694681885652864
NanoBiT,490,0.3722720891649296,0.3770138447508774,0.4369401648154783
NanoBiT,495,0.3699110903135236,0.3239284826042501,0.3364129600245688
NanoBiT,500,0.298060152295061,0.3021527067731506,0.3018631314940881
NanoBiT,505,0.2266984302548177,0.2367977450465636,0.2555151763320878
NanoBiT,510,0.1920917173607861,0.207450189294498,0.2077852280288683
NanoBiT,515,0.1755647254009444,0.147539171525686,0.1791216665813584
NanoBiT,520,0.1558897349725613,0.1539503136485478,0.1715974817013871
NanoBiT,525,0.125537074063045,0.1312349738856495,0.1387879408302195
NanoBiT,530,0.0968647636874122,0.114654433912731,0.1126836259405231
NanoBiT,535,0.0813587442038541,0.1030204216983999,0.0883195987101397
NanoBiT,540,0.0782745565150806,0.0742531848453864,0.0904693658187029
NanoBiT,545,0.055664270217382,0.0458451930251195,0.0655167118800225
NanoBiT,550,0.0396264942357595,0.0410092021996849,0.0622920612171776
NanoBiT,555,0.0452631131152422,0.0347638654765523,0.0375185545375441
NanoBiT,560,0.0377759816224954,0.0387984635366291,0.0276910477555407
NanoBiT,565,0.037393116943889,0.0356757951750628,0.0232891436761017
NanoBiT,570,0.0184413153528736,0.0240417829607317,0.0335773148385115
NanoBiT,575,0.0186114774322542,0.0098654212838864,0.0231355888826329
NanoBiT,580,0.0323095248223933,0.0082350015198828,0.0143317807237549
NanoBiT,585,0.0147190198664227,0.0172990300384115,0.0185801300097251
NanoBiT,590,0.008933509167482,0.016110758007019,0.0089573629523468
NanoBiT,595,0.0102948058025269,0.0174372012048525,0.0127194553923324
NanoBiT,600,0.0115710213978814,0.0106944482825324,0.0065260787224241
FAM-NanoBiT,300,0.0013685929981016,0.002205500778412,0.0126574307304785
FAM-NanoBiT,305,0.0069754094741954,0.0189413596263622,0.0005037783375314
FAM-NanoBiT,310,0.0021632599002251,0.0077192527244421,0.0010705289672544
FAM-NanoBiT,315,0.0022957043839124,0.0003892060197197,0.0091939546599496
FAM-NanoBiT,320,0.0037084455432431,0.0002594706798131,0.0005037783375314
FAM-NanoBiT,325,0.0009712595470398,0.0027244421380384,0.0001259445843828
FAM-NanoBiT,330,0.001059555869498,0.0020757654385054,0.0001889168765743
FAM-NanoBiT,335,0.0002207408061454,0.0024001037882719,0.00044080604534
FAM-NanoBiT,340,0.0016776301267052,0.0096004151530877,0.0016372795969773
FAM-NanoBiT,345,0.0022074080614542,0.0009730150492994,0.0001889168765743
FAM-NanoBiT,350,0.0013244448368725,0.026595744680851,0.0010075566750629
FAM-NanoBiT,355,0.0007063705796653,0.000454073689673,0.0019521410579345
FAM-NanoBiT,360,0.0027371859962032,0.0018162947586922,0.0024559193954659
FAM-NanoBiT,365,8.829632245816962e-05,0.0010378827192527,0.0012594458438287
FAM-NanoBiT,370,0.0015451856430179,0.0020757654385054,0.0005667506297229
FAM-NanoBiT,375,0.0041499271555339,6.486766995329527e-05,0.0001889168765743
FAM-NanoBiT,380,0.0012802966756434,0.0017514270887389,0.0001259445843828
